feature,importance
tfidf_460,1
tfidf_443,1
tfidf_498,1
tfidf_459,1
tfidf_501,1
tfidf_803,1
tfidf_748,1
tfidf_454,1
tfidf_453,1
tfidf_563,1
tfidf_810,1
tfidf_447,1
tfidf_756,1
tfidf_562,1
tfidf_806,1
tfidf_510,1
tfidf_513,1
tfidf_829,1
tfidf_438,1
tfidf_469,1
tfidf_44,1
tfidf_110,1
tfidf_824,1
tfidf_467,1
tfidf_823,1
tfidf_466,1
tfidf_430,1
tfidf_516,1
tfidf_820,1
tfidf_819,1
tfidf_463,1
tfidf_749,1
tfidf_114,1
tfidf_774,1
tfidf_592,1
tfidf_533,1
tfidf_378,1
tfidf_304,1
tfidf_645,1
tfidf_216,1
tfidf_702,1
tfidf_231,1
tfidf_72,1
tfidf_71,1
tfidf_237,1
tfidf_932,1
tfidf_929,1
tfidf_247,1
tfidf_248,1
tfidf_253,1
tfidf_29,1
tfidf_922,1
tfidf_266,1
tfidf_628,1
tfidf_862,1
tfidf_270,1
tfidf_272,1
tfidf_24,1
tfidf_280,1
tfidf_66,1
tfidf_914,1
tfidf_913,1
tfidf_623,1
tfidf_908,1
tfidf_64,1
tfidf_211,1
tfidf_210,1
tfidf_647,1
tfidf_177,1
tfidf_996,1
tfidf_146,1
tfidf_991,1
tfidf_149,1
tfidf_680,1
tfidf_987,1
tfidf_985,1
tfidf_983,1
tfidf_982,1
tfidf_980,1
tfidf_168,1
tfidf_170,1
tfidf_971,1
tfidf_693,1
tfidf_181,1
tfidf_658,1
tfidf_967,1
tfidf_186,1
tfidf_188,1
tfidf_656,1
tfidf_190,1
tfidf_75,1
tfidf_964,1
tfidf_652,1
tfidf_199,1
tfidf_958,1
tfidf_302,1
tfidf_269,1
tfidf_94,1
tfidf_333,1
tfidf_372,1
tfidf_903,1
tfidf_873,1
tfidf_370,1
tfidf_883,1
tfidf_31,1
tfidf_866,1
tfidf_359,1
tfidf_341,1
tfidf_368,1
tfidf_119,1
tfidf_724,1
tfidf_601,1
tfidf_365,1
tfidf_723,1
tfidf_598,1
tfidf_36,1
tfidf_616,1
tfidf_727,1
tfidf_330,1
tfidf_104,1
tfidf_363,1
tfidf_362,1
tfidf_354,1
tfidf_360,1
tfidf_355,1
tfidf_331,1
tfidf_318,1
tfidf_375,1
tfidf_316,1
tfidf_23,1
tfidf_376,1
tfidf_689,0
tfidf_690,0
tfidf_735,0
tfidf_711,0
tfidf_757,0
tfidf_688,0
tfidf_687,0
tfidf_760,0
tfidf_730,0
tfidf_26,0
tfidf_759,0
tfidf_15,0
tfidf_731,0
tfidf_729,0
tfidf_681,0
tfidf_682,0
tfidf_728,0
tfidf_683,0
tfidf_685,0
tfidf_19,0
tfidf_686,0
tfidf_733,0
tfidf_736,0
tfidf_694,0
tfidf_737,0
tfidf_691,0
tfidf_720,0
tfidf_719,0
tfidf_706,0
tfidf_742,0
tfidf_743,0
tfidf_707,0
tfidf_717,0
tfidf_708,0
tfidf_716,0
tfidf_747,0
tfidf_710,0
tfidf_715,0
tfidf_22,0
tfidf_746,0
tfidf_713,0
tfidf_705,0
tfidf_704,0
tfidf_703,0
tfidf_696,0
tfidf_692,0
tfidf_753,0
tfidf_726,0
tfidf_752,0
tfidf_725,0
tfidf_25,0
tfidf_697,0
tfidf_18,0
tfidf_698,0
tfidf_699,0
tfidf_751,0
tfidf_101,0
tfidf_740,0
tfidf_20,0
tfidf_21,0
tfidf_840,0
tfidf_762,0
tfidf_926,0
tfidf_917,0
tfidf_93,0
tfidf_920,0
tfidf_923,0
tfidf_924,0
tfidf_925,0
tfidf_927,0
tfidf_915,0
tfidf_92,0
tfidf_933,0
tfidf_935,0
tfidf_936,0
tfidf_937,0
tfidf_91,0
tfidf_916,0
tfidf_912,0
tfidf_3,0
tfidf_893,0
tfidf_886,0
tfidf_888,0
tfidf_889,0
tfidf_890,0
tfidf_891,0
tfidf_892,0
tfidf_894,0
tfidf_905,0
tfidf_895,0
tfidf_896,0
tfidf_897,0
tfidf_899,0
tfidf_900,0
tfidf_901,0
tfidf_939,0
tfidf_943,0
tfidf_763,0
tfidf_986,0
tfidf_975,0
tfidf_976,0
tfidf_977,0
has_value,0
tfidf_84,0
tfidf_981,0
tfidf_988,0
tfidf_85,0
description_length,0
tfidf_990,0
tfidf_993,0
tfidf_994,0
tfidf_995,0
tfidf_998,0
tfidf_974,0
tfidf_970,0
tfidf_2,0
tfidf_957,0
tfidf_90,0
brand_encoded,0
unit_encoded,0
tfidf_89,0
tfidf_88,0
tfidf_953,0
tfidf_959,0
tfidf_969,0
has_unit,0
tfidf_961,0
tfidf_963,0
tfidf_965,0
tfidf_966,0
tfidf_86,0
tfidf_95,0
tfidf_882,0
tfidf_881,0
tfidf_807,0
tfidf_793,0
tfidf_795,0
tfidf_797,0
tfidf_799,0
tfidf_800,0
tfidf_804,0
tfidf_809,0
tfidf_790,0
tfidf_811,0
tfidf_817,0
tfidf_818,0
tfidf_825,0
tfidf_826,0
tfidf_827,0
tfidf_791,0
tfidf_789,0
tfidf_880,0
tfidf_772,0
tfidf_765,0
tfidf_766,0
tfidf_767,0
tfidf_768,0
tfidf_770,0
tfidf_771,0
tfidf_777,0
tfidf_786,0
tfidf_778,0
tfidf_779,0
tfidf_780,0
tfidf_782,0
tfidf_783,0
tfidf_784,0
tfidf_828,0
tfidf_831,0
tfidf_832,0
tfidf_868,0
tfidf_858,0
tfidf_97,0
tfidf_861,0
tfidf_863,0
tfidf_865,0
tfidf_867,0
tfidf_870,0
tfidf_833,0
tfidf_872,0
tfidf_874,0
tfidf_875,0
tfidf_876,0
tfidf_878,0
tfidf_879,0
tfidf_857,0
tfidf_855,0
tfidf_854,0
tfidf_853,0
tfidf_852,0
tfidf_851,0
tfidf_850,0
tfidf_848,0
tfidf_845,0
tfidf_844,0
tfidf_843,0
tfidf_841,0
tfidf_839,0
tfidf_838,0
tfidf_836,0
tfidf_835,0
tfidf_834,0
tfidf_678,0
tfidf_568,0
tfidf_676,0
tfidf_274,0
tfidf_317,0
tfidf_319,0
tfidf_63,0
tfidf_321,0
tfidf_322,0
tfidf_323,0
tfidf_325,0
tfidf_326,0
tfidf_62,0
tfidf_332,0
tfidf_59,0
tfidf_335,0
tfidf_336,0
tfidf_337,0
tfidf_338,0
tfidf_339,0
tfidf_58,0
tfidf_315,0
tfidf_314,0
tfidf_312,0
tfidf_290,0
tfidf_277,0
tfidf_278,0
tfidf_279,0
tfidf_284,0
tfidf_285,0
tfidf_286,0
tfidf_287,0
tfidf_291,0
tfidf_310,0
tfidf_292,0
tfidf_125,0
tfidf_298,0
tfidf_306,0
tfidf_307,0
tfidf_308,0
tfidf_309,0
tfidf_123,0
tfidf_343,0
tfidf_344,0
tfidf_116,0
tfidf_387,0
tfidf_388,0
tfidf_389,0
tfidf_391,0
tfidf_392,0
tfidf_393,0
tfidf_394,0
tfidf_396,0
tfidf_384,0
tfidf_397,0
tfidf_398,0
tfidf_399,0
tfidf_400,0
tfidf_402,0
tfidf_403,0
tfidf_405,0
tfidf_386,0
tfidf_52,0
